Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testy,Chrome 74.0.3729.157,,2019-05-15 15:31:45,2019-05-15 15:31:56,10.845s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 15:31:46,2019-05-15 15:31:49,3.031s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 15:31:46,2019-05-15 15:31:49,2.762s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 74.0.3729.157,,2019-05-15 15:31:49,2019-05-15 15:31:54,5.430s,FAILED
"openBrowser(""www.ksl.com"")",Chrome 74.0.3729.157,,2019-05-15 15:31:49,2019-05-15 15:31:54,4.910s,PASSED
clickImage(findTestObject(null)),Chrome 74.0.3729.157,,2019-05-15 15:31:54,2019-05-15 15:31:54,0.425s,FAILED
,,,,,,
Test Cases/Ignite Test,Chrome 74.0.3729.157,,2019-05-15 15:31:54,2019-05-15 15:31:56,2.096s,PASSED
"openBrowser(""dev-aim.clearlink.com"")",Chrome 74.0.3729.157,,2019-05-15 15:31:54,2019-05-15 15:31:56,2.089s,PASSED
